SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
HumanS10-3-1	KMCP	Human	Single	10%	10G	88.99256667
HumanS10-3-2	KMCP	Human	Single	10%	10G	125.32015
HumanS10-3-3	KMCP	Human	Single	10%	10G	97.16591667
HumanS10-3-4	KMCP	Human	Single	10%	10G	117.2001333
HumanS10-3-5	KMCP	Human	Single	10%	10G	95.08051667
HumanS10-1-1	KrakenUniq	Human	Single	90%	10G	27.68093333
HumanS10-1-2	KrakenUniq	Human	Single	90%	10G	26.87395
HumanS10-1-3	KrakenUniq	Human	Single	90%	10G	26.44583333
HumanS10-1-4	KrakenUniq	Human	Single	90%	10G	31.49808333
HumanS10-1-5	KrakenUniq	Human	Single	90%	10G	31.58101667
HumanS10-2-1	KrakenUniq	Human	Single	50%	10G	24.0246
HumanS10-2-2	KrakenUniq	Human	Single	50%	10G	26.83776667
HumanS10-2-3	KrakenUniq	Human	Single	50%	10G	24.8789
HumanS10-2-4	KrakenUniq	Human	Single	50%	10G	25.61673333
HumanS10-2-5	KrakenUniq	Human	Single	50%	10G	25.22468333
HumanS10-3-1	KrakenUniq	Human	Single	10%	10G	20.502
HumanS10-3-2	KrakenUniq	Human	Single	10%	10G	20.86871667
HumanS10-3-3	KrakenUniq	Human	Single	10%	10G	20.87486667
HumanS10-3-4	KrakenUniq	Human	Single	10%	10G	21.43468333
HumanS10-3-5	KrakenUniq	Human	Single	10%	10G	22.4196
HumanS30-1-1	Bowtie2	Human	Single	90%	30G	475.5333667
HumanS30-1-2	Bowtie2	Human	Single	90%	30G	509.9064667
HumanS30-1-3	Bowtie2	Human	Single	90%	30G	520.7070667
HumanS30-1-4	Bowtie2	Human	Single	90%	30G	500.2645
HumanS30-1-5	Bowtie2	Human	Single	90%	30G	451.0878
HumanS30-2-1	Bowtie2	Human	Single	50%	30G	374.8788833
HumanS30-2-2	Bowtie2	Human	Single	50%	30G	390.1744833
HumanS30-2-3	Bowtie2	Human	Single	50%	30G	336.28055
HumanS30-2-4	Bowtie2	Human	Single	50%	30G	295.6901
HumanS30-2-5	Bowtie2	Human	Single	50%	30G	271.6737667
HumanS30-3-1	Bowtie2	Human	Single	10%	30G	83.45755
HumanS30-3-2	Bowtie2	Human	Single	10%	30G	87.50126667
HumanS30-3-3	Bowtie2	Human	Single	10%	30G	88.89266667
HumanS30-3-4	Bowtie2	Human	Single	10%	30G	87.27725
HumanS30-3-5	Bowtie2	Human	Single	10%	30G	85.30548333
HumanS30-1-1	BWA	Human	Single	90%	30G	1042.029833
HumanS30-1-2	BWA	Human	Single	90%	30G	1136.2448
HumanS30-1-3	BWA	Human	Single	90%	30G	1094.7642
HumanS30-1-4	BWA	Human	Single	90%	30G	1137.379917
HumanS30-1-5	BWA	Human	Single	90%	30G	1098.042583
HumanS30-2-1	BWA	Human	Single	50%	30G	818.9995
HumanS30-2-2	BWA	Human	Single	50%	30G	863.43295
HumanS30-2-3	BWA	Human	Single	50%	30G	740.4398
HumanS30-2-4	BWA	Human	Single	50%	30G	762.3025833
HumanS30-2-5	BWA	Human	Single	50%	30G	736.3806
HumanS30-3-1	BWA	Human	Single	10%	30G	486.1668333
HumanS30-3-2	BWA	Human	Single	10%	30G	483.4205833
HumanS30-3-3	BWA	Human	Single	10%	30G	443.6253
HumanS30-3-4	BWA	Human	Single	10%	30G	380.47035
HumanS30-3-5	BWA	Human	Single	10%	30G	373.6745667
HumanS30-1-1	Kneaddata	Human	Single	90%	30G	1176.279017
HumanS30-1-2	Kneaddata	Human	Single	90%	30G	1179.414917
HumanS30-1-3	Kneaddata	Human	Single	90%	30G	1172.920833
HumanS30-1-4	Kneaddata	Human	Single	90%	30G	1267.469317
HumanS30-1-5	Kneaddata	Human	Single	90%	30G	1207.204217
HumanS30-2-1	Kneaddata	Human	Single	50%	30G	712.0519667
HumanS30-2-2	Kneaddata	Human	Single	50%	30G	711.7667333
HumanS30-2-3	Kneaddata	Human	Single	50%	30G	699.0075333
HumanS30-2-4	Kneaddata	Human	Single	50%	30G	749.7923167
