KEGG_ko	microbiome1
ko:K02291	7.64959
ko:K02302	93.24298
ko:K02303	82.99229
ko:K02304	444.80102
ko:K02313	195.55599
ko:K02314	307.978532
ko:K02315	244.197651
ko:K02316	332.04526999999996
ko:K02334	63.04516
ko:K02335	370.8328
ko:K02337	348.95117
ko:K02338	256.779632
ko:K02339	10.2315
ko:K02340	169.76597999999998
ko:K02341	211.511532
ko:K02342	270.82653799999997
ko:K02343	182.00444
ko:K02346	390.62212999999997
ko:K02348	13.256889999999999
ko:K02352	4.19602
ko:K02355	440.06244
ko:K02356	136.28157
ko:K02357	152.92152000000002
ko:K02358	515.55305
ko:K02359	33.203630000000004
ko:K02361	29.701340000000002
ko:K02371	220.60509000000002
ko:K02372	82.2449
ko:K02377	62.69543
ko:K02379	18.56878
ko:K02380	40.71809
ko:K02385	98.9757
ko:K02387	21.64738
ko:K02388	22.25648
ko:K02389	53.904289999999996
ko:K02390	25.598959999999998
ko:K02392	36.71689
ko:K02395	15.7169
ko:K02396	32.982060000000004
ko:K02397	13.86785
ko:K02398	29.4899
ko:K02400	52.78022
ko:K02401	38.63534
ko:K02404	4.03222
ko:K02405	11.92775
ko:K02406	61.23803
ko:K02407	26.48019
ko:K02408	38.6001
ko:K02409	106.80842
ko:K02410	17.408
ko:K02411	37.96264
ko:K02412	17.61797
ko:K02413	5.12158
ko:K02414	27.266840000000002
ko:K02415	7.53278
ko:K02416	21.95454
ko:K02417	85.63456
ko:K02418	29.647779999999997
ko:K02419	10.85522
ko:K02420	64.338
ko:K02421	23.929000000000002
ko:K02422	26.97359
ko:K02424	5.42432
ko:K02426	34.02585
ko:K02427	41.846540000000005
ko:K02428	454.63756
ko:K02429	89.976022
ko:K02431	5.92323
ko:K02433	243.217781
ko:K02434	374.44673
ko:K02435	591.69636
ko:K02437	192.98086
ko:K02438	58.502579999999995
ko:K02440	60.2199
ko:K02441	4.87837
ko:K02443	10.18582
ko:K02444	3.41763
ko:K02445	64.56031
ko:K02446	11.4985
ko:K02450	32.30282
ko:K02453	9.47935
ko:K02454	14.141960000000001
ko:K02455	10.9506
ko:K02456	79.00858
ko:K02457	32.20111
ko:K02458	7.462
ko:K02469	465.412248
ko:K02470	343.376402
ko:K02471	14.258310000000002
ko:K02472	57.7583
ko:K02473	24.88357
ko:K02474	91.39025
ko:K02475	3.17796
ko:K02477	182.97826
ko:K02478	2.74913
ko:K02481	186.438942
ko:K02483	67.84977
ko:K02484	103.624892
ko:K02487	4.39604
ko:K02492	115.01347999999999
ko:K02493	216.50773999999998
ko:K02499	88.16823
ko:K02500	292.83522
ko:K02501	214.83299
ko:K02502	211.814
ko:K02503	363.0164
ko:K02506	9.57705
ko:K02507	12.5589
ko:K02517	86.24664
ko:K02518	1379.728672
ko:K02519	264.35786
ko:K02520	206.946076
ko:K02521	8.29167
ko:K02523	109.42902
ko:K02527	75.539902
ko:K02528	145.42320899999999
ko:K02529	880.28586
ko:K02530	13.2021
ko:K02532	42.301359999999995
ko:K02535	10.2037
ko:K02536	231.44108
ko:K02538	57.360929999999996
ko:K02548	76.76468
ko:K02549	92.16675
ko:K02551	142.60556
ko:K02552	37.94963
ko:K02556	13.412579
ko:K02557	23.7179
