Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
170	RiceS30-3-5	Kraken2	Rice	Single	10%	30G	0.994608738	0.978678678	0.997337376	0.986579408
171	RiceS30-3-1	KMCP	Rice	Single	10%	30G	1	0.747842346	0.974784235	0.855732038
172	RiceS30-3-2	KMCP	Rice	Single	10%	30G	1	0.747941307	0.974794131	0.855796821
173	RiceS30-3-3	KMCP	Rice	Single	10%	30G	1	0.747731511	0.974773151	0.855659472
174	RiceS30-3-4	KMCP	Rice	Single	10%	30G	1	0.747750678	0.974775068	0.855672021
175	RiceS30-3-5	KMCP	Rice	Single	10%	30G	1	0.747477546	0.974747755	0.855493163
176	RiceS30-3-1	KrakenUniq	Rice	Single	10%	30G	0.99201635	0.999998958	0.999195107	0.99599166
177	RiceS30-3-2	KrakenUniq	Rice	Single	10%	30G	0.991982929	0.999998542	0.999191669	0.995974608
178	RiceS30-3-3	KrakenUniq	Rice	Single	10%	30G	0.991972267	0.999998333	0.999190565	0.995969131
179	RiceS30-3-4	KrakenUniq	Rice	Single	10%	30G	0.991988675	0.999999167	0.999192315	0.995977814
180	RiceS30-3-5	KrakenUniq	Rice	Single	10%	30G	0.99196878	0.999998125	0.99919019	0.99596727
181	RiceS60-1-1	Kneaddata	Rice	Single	90%	60G	0.999773021	1	0.999795672	0.999886498
182	RiceS60-1-2	Kneaddata	Rice	Single	90%	60G	0.999772732	1	0.999795412	0.999886353
183	RiceS60-1-3	Kneaddata	Rice	Single	90%	60G	0.999773831	1	0.999796402	0.999886903
184	RiceS60-1-4	Kneaddata	Rice	Single	90%	60G	0.999773021	1	0.999795672	0.999886498
185	RiceS60-1-5	Kneaddata	Rice	Single	90%	60G	0.999771424	1	0.999794235	0.999885699
186	RiceS60-1-1	BWA	Rice	Single	90%	60G	0.999595877	0.999999994	0.999636137	0.999797895
187	RiceS60-1-2	BWA	Rice	Single	90%	60G	0.999603776	1	0.999643257	0.999801849
188	RiceS60-1-3	BWA	Rice	Single	90%	60G	0.999564572	1	0.999607944	0.999782239
189	RiceS60-1-4	BWA	Rice	Single	90%	60G	0.999542554	1	0.99958811	0.999771225
190	RiceS60-1-5	BWA	Rice	Single	90%	60G	0.999540218	1	0.999586006	0.999770056
191	RiceS60-1-1	Bowtie2	Rice	Single	90%	60G	0.999999658	0.999781858	0.999803365	0.999890747
192	RiceS60-1-2	Bowtie2	Rice	Single	90%	60G	0.999999647	0.999779486	0.999801219	0.999889554
193	RiceS60-1-3	Bowtie2	Rice	Single	90%	60G	0.999999699	0.99978213	0.999803647	0.999890903
194	RiceS60-1-4	Bowtie2	Rice	Single	90%	60G	0.99999967	0.999782188	0.999803673	0.999890917
195	RiceS60-1-5	Bowtie2	Rice	Single	90%	60G	0.999999693	0.999781459	0.999803037	0.999890564
196	RiceS60-1-1	Kraken2	Rice	Single	90%	60G	0.99988846	0.964464229	0.969926128	0.981856932
197	RiceS60-1-2	Kraken2	Rice	Single	90%	60G	0.99988744	0.964463347	0.969924554	0.981855984
198	RiceS60-1-3	Kraken2	Rice	Single	90%	60G	0.99988915	0.964462327	0.969925072	0.981856279
199	RiceS60-1-4	Kraken2	Rice	Single	90%	60G	0.99988805	0.964502126	0.969957952	0.981876372
200	RiceS60-1-5	Kraken2	Rice	Single	90%	60G	0.99988627	0.964482044	0.969939472	0.981865108
201	RiceS60-1-1	KMCP	Rice	Single	90%	60G	1	0.747761037	0.772984933	0.855678804
202	RiceS60-1-2	KMCP	Rice	Single	90%	60G	1	0.747723131	0.772950818	0.855653985
203	RiceS60-1-3	KMCP	Rice	Single	90%	60G	1	0.747678384	0.772910546	0.855624686
204	RiceS60-1-4	KMCP	Rice	Single	90%	60G	1	0.747693998	0.772924598	0.85563491
205	RiceS60-1-5	KMCP	Rice	Single	90%	60G	1	0.74782157	0.773039413	0.855718436
206	RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	0.999901014	0.999998843	0.999909863	0.999949926
207	RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	0.999900436	0.999998715	0.999909227	0.999949573
208	RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	0.999902229	0.999998542	0.999910685	0.999950383
209	RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	0.999900008	0.999998588	0.999908727	0.999949295
210	RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	0.999899394	0.999998762	0.999908331	0.999949075
211	RiceS60-2-1	Kneaddata	Rice	Single	50%	60G	0.997953919	1	0.998974862	0.998975912
212	RiceS60-2-2	Kneaddata	Rice	Single	50%	60G	0.997947383	1	0.998971581	0.998972637
213	RiceS60-2-3	Kneaddata	Rice	Single	50%	60G	0.99794923	1	0.998972508	0.998973562
214	RiceS60-2-4	Kneaddata	Rice	Single	50%	60G	0.997942611	1	0.998969185	0.998970246
215	RiceS60-2-5	Kneaddata	Rice	Single	50%	60G	0.997947674	1	0.998971726	0.998972783
216	RiceS60-2-1	BWA	Rice	Single	50%	60G	0.996035604	0.99999999	0.998009908	0.99801386
217	RiceS60-2-2	BWA	Rice	Single	50%	60G	0.996263118	1	0.998124551	0.998128061
218	RiceS60-2-3	BWA	Rice	Single	50%	60G	0.995784013	1	0.997883082	0.997887554
219	RiceS60-2-4	BWA	Rice	Single	50%	60G	0.995783796	1	0.997882972	0.997887445
220	RiceS60-2-5	BWA	Rice	Single	50%	60G	0.995828669	1	0.997905598	0.997909975
221	RiceS60-2-1	Bowtie2	Rice	Single	50%	60G	0.999996895	0.999781745	0.99988932	0.999889308
222	RiceS60-2-2	Bowtie2	Rice	Single	50%	60G	0.999996583	0.999777766	0.999887174	0.999887162
223	RiceS60-2-3	Bowtie2	Rice	Single	50%	60G	0.999996989	0.999779245	0.999888117	0.999888105
224	RiceS60-2-4	Bowtie2	Rice	Single	50%	60G	0.999996812	0.999780943	0.999888878	0.999888866
225	RiceS60-2-5	Bowtie2	Rice	Single	50%	60G	0.999996655	0.999780047	0.999888352	0.99988834
